timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726840703326,45,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,45,0,0
1726840703327,67,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,66,0,44
1726840703368,47,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,47,0,0
1726840703358,58,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,58,0,40
1726840703395,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,56,0,0
1726840703373,79,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,79,0,42
1726840703417,54,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,53,0,33
1726840703417,54,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,4,4,https://reqres.in/api/users,54,0,0
1726840703453,58,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,58,0,36
1726840703453,69,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,69,0,0
1726840703471,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,56,0,0
1726840703473,73,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,72,0,40
1726840703511,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,56,0,0
1726840703524,64,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,64,0,35
1726840703530,71,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,71,0,41
1726840703547,54,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,4,4,https://reqres.in/api/users,54,0,0
1726840703569,52,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,51,0,31
1726840703589,45,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,45,0,0
1726840703603,52,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,52,0,31
1726840703602,69,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,69,0,0
1726840703621,53,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,53,0,0
1726840703636,54,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,53,0,33
1726840703656,54,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,4,4,https://reqres.in/api/users,54,0,0
1726840703673,63,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,63,0,35
1726840703690,70,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,70,0,0
1726840703676,85,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,85,0,43
1726840703737,59,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,59,0,0
1726840703713,83,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,83,0,57
1726840703762,51,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,51,0,0
1726840703762,63,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,63,0,42
1726840703797,58,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,4,4,https://reqres.in/api/users,58,0,0
1726840703798,57,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,57,0,26
1726840703814,55,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,54,0,29
1726840703826,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,56,0,0
1726840703856,43,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,43,0,0
1726840703856,64,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,64,0,31
1726840703869,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,56,0,0
1726840703901,46,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,46,0,28
1726840703883,67,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,66,0,32
1726840703921,60,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,892,290,4,4,https://reqres.in/api/users,59,0,0
1726840703926,55,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-7,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,55,0,31
1726840703950,49,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,4,4,https://reqres.in/api/users,49,0,0
1726840703948,54,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,4,4,https://reqres.in/api/users,54,0,0
1726840703982,51,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-7,text,true,,893,290,4,4,https://reqres.in/api/users,51,0,0
1726840703982,62,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,62,0,28
1726840704000,50,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,50,0,31
