timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726841535941,54,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-13,text,true,,893,290,11,11,https://reqres.in/api/users,54,0,0
1726841535957,44,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-30,text,true,,892,290,11,11,https://reqres.in/api/users,44,0,0
1726841535957,50,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-12,text,true,,893,290,12,12,https://reqres.in/api/users,50,0,0
1726841535960,50,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-34,text,true,,893,290,12,12,https://reqres.in/api/users,50,0,0
1726841535970,52,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-31,text,true,,892,290,12,12,https://reqres.in/api/users,52,0,0
1726841535938,84,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-15,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,84,0,45
1726841535977,56,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-35,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,56,0,30
1726841535977,64,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-14,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,64,0,34
1726841535984,65,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-33,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,65,0,43
1726841535994,58,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-32,text,true,,893,290,12,12,https://reqres.in/api/users,58,0,0
1726841535996,58,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-13,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,58,0,35
1726841535990,75,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-11,text,true,,893,290,12,12,https://reqres.in/api/users,75,0,0
1726841536003,62,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-30,text,true,,1928,127,12,12,https://reqres.in/api/users?page=2,62,0,33
